Molecule Name,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019636,MAT-POS-777f5926-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CNC2)Cc2ccc(Cl)cc21,0.0849,0.0718,0.100,1.00,1.1
CVD-0019636,MAT-POS-777f5926-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CNC2)Cc2ccc(Cl)cc21,0.0562,0.0500,0.0632,0.892,2.1
CVD-0019635,MAT-POS-777f5926-3,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CNC2)Cc2ccc(Cl)cc21,1.62,1.31,2.00,1.14,1.1
CVD-0019576,MAT-POS-dd1fff26-2,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CC2)Cc2ccc(Cl)cc21,0.0459,0.0411,0.0513,1.19,1.1
CVD-0019576,MAT-POS-dd1fff26-2,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CC2)Cc2ccc(Cl)cc21,0.0846,0.0691,0.103,1.36,1.1
CVD-0019576,MAT-POS-dd1fff26-2,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CC2)Cc2ccc(Cl)cc21,< 0.0500,"","",1.02,2.1
CVD-0019575,MAT-POS-dd1fff26-1,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CC2)Cc2ccc(Cl)cc21,4.58,4.23,4.96,1.12,1.1
CVD-0019283,MAT-POS-bf364d7a-12,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCS(=O)(=O)CC2)Cc2ccc(Cl)cc21,15.3,13.7,17.1,0.999,1.1
CVD-0019282,MAT-POS-bf364d7a-11,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCS(=O)(=O)CC2)Cc2ccc(Cl)cc21,0.0524,0.0466,0.0589,1.10,1.1
CVD-0019282,MAT-POS-bf364d7a-11,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCS(=O)(=O)CC2)Cc2ccc(Cl)cc21,0.0814,0.0664,0.0997,1.21,1.1
CVD-0019282,MAT-POS-bf364d7a-11,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCS(=O)(=O)CC2)Cc2ccc(Cl)cc21,< 0.0500,"","",0.927,2.1
CVD-0019281,MAT-POS-bf364d7a-10,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCOCC2)Cc2ccc(Cl)cc21,15.2,13.4,17.4,1.21,1.1
CVD-0019280,MAT-POS-bf364d7a-9,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCOCC2)Cc2ccc(Cl)cc21,0.0875,0.0664,0.115,1.03,1.1
CVD-0019280,MAT-POS-bf364d7a-9,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CCOCC2)Cc2ccc(Cl)cc21,0.0600,0.0573,0.0627,1.11,2.1
CVD-0019279,MAT-POS-bf364d7a-8,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(OC)CC2)Cc2ccc(Cl)cc21,0.0802,0.0635,0.101,0.981,1.1
