Molecule Name,Canonical PostEra ID,suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019279,MAT-POS-bf364d7a-8,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(OC)CC2)Cc2ccc(Cl)cc21,0.0548,0.0507,0.0591,1.05,2.1
CVD-0019278,MAT-POS-bf364d7a-7,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(OC)CC2)Cc2ccc(Cl)cc21,18.5,16.7,20.4,1.14,1.1
CVD-0019277,MAT-POS-bf364d7a-6,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,13.2,11.7,14.9,1.14,1.1
CVD-0019276,MAT-POS-bf364d7a-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.0737,0.0638,0.0852,1.17,1.1
CVD-0019276,MAT-POS-bf364d7a-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.108,0.0891,0.130,1.23,1.1
CVD-0019276,MAT-POS-bf364d7a-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.0505,0.0465,0.0548,0.959,2.1
CVD-0019275,MAT-POS-bf364d7a-3,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,8.23,7.24,9.36,1.06,1.1
CVD-0019274,MAT-POS-bf364d7a-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CS(=O)(=O)C2)Cc2ccc(Cl)cc21,26.3,23.4,29.5,1.97,1.1
CVD-0019273,MAT-POS-bf364d7a-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.0349,0.0300,0.0406,1.11,1.1
CVD-0019273,MAT-POS-bf364d7a-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.0189,8.46E-03,0.0424,0.656,1.3
CVD-0019273,MAT-POS-bf364d7a-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C)CS(=O)(=O)C2)Cc2ccc(Cl)cc21,< 0.0500,"","",0.985,2.1
CVD-0019127,ALP-POS-07e1ed01-2,CN1CC(C#N)(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.151,0.143,0.159,1.06,2.1
CVD-0018773,MAT-POS-af1eef35-2,"COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1 |c:18,22,31,33,t:16,20,24,28|",0.183,0.131,0.258,1.06,1.1
CVD-0018773,MAT-POS-af1eef35-2,"COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1 |c:18,22,31,33,t:16,20,24,28|",0.0978,0.0869,0.110,1.25,1.1
CVD-0018773,MAT-POS-af1eef35-2,"COC(=O)CN(C)S(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1 |c:18,22,31,33,t:16,20,24,28|",0.0648,0.0569,0.0738,0.893,2.1
CVD-0018693,MAT-POS-e194df51-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CC2)Cc2ccc(Cl)cc21,4.11,3.72,4.55,1.11,1.1
CVD-0018692,MAT-POS-e194df51-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CC2)Cc2ccc(Cl)cc21,0.0368,0.0343,0.0395,1.19,1.1
CVD-0018692,MAT-POS-e194df51-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC2(C#N)CC2)Cc2ccc(Cl)cc21,< 0.0500,"","",1.05,2.1
CVD-0018504,MAT-POS-5cd9ea36-24,N#CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.330,0.308,0.354,1.20,1.1
CVD-0018503,MAT-POS-5cd9ea36-23,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.176,0.150,0.206,1.23,1.1
CVD-0018503,MAT-POS-5cd9ea36-23,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0976,0.0924,0.103,1.07,1.1
CVD-0018503,MAT-POS-5cd9ea36-23,CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0860,0.0829,0.0891,0.968,2.1
CVD-0018502,MAT-POS-5cd9ea36-22,COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.104,0.0914,0.119,0.902,2.1
CVD-0018501,MAT-POS-5cd9ea36-21,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0876,0.0825,0.0931,1.08,1.1
CVD-0018501,MAT-POS-5cd9ea36-21,CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0823,0.0729,0.0929,1.07,2.1
CVD-0018500,MAT-POS-5cd9ea36-20,CN(C1CC1)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.104,0.0847,0.128,1.20,2.1
CVD-0018499,MAT-POS-5cd9ea36-19,CC(C)N(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.126,0.118,0.135,1.19,2.1
CVD-0018498,MAT-POS-5cd9ea36-18,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.200,0.148,0.269,0.995,1.1
CVD-0018498,MAT-POS-5cd9ea36-18,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0952,0.0881,0.103,1.08,1.1
CVD-0018498,MAT-POS-5cd9ea36-18,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.101,0.0915,0.112,1.20,1.1
CVD-0018498,MAT-POS-5cd9ea36-18,CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0694,0.0614,0.0784,0.876,2.1
CVD-0018497,MAT-POS-5cd9ea36-17,CCNS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.149,0.128,0.173,0.986,2.1
CVD-0018496,MAT-POS-5cd9ea36-16,CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.102,0.0954,0.109,1.04,1.1
CVD-0018496,MAT-POS-5cd9ea36-16,CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.0789,0.0692,0.0901,0.898,2.1
CVD-0018491,MAT-POS-5cd9ea36-11,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2(F)F)Cc2ccc(Cl)cc21,0.159,0.146,0.174,1.04,2.1
CVD-0018490,MAT-POS-5cd9ea36-10,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,0.0980,0.0838,0.115,1.19,2.1
CVD-0018489,MAT-POS-5cd9ea36-9,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2(F)CC2)Cc2ccc(Cl)cc21,0.176,0.165,0.188,1.20,2.1
CVD-0018488,MAT-POS-5cd9ea36-8,N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,0.128,0.122,0.135,1.06,2.1
CVD-0018487,MAT-POS-5cd9ea36-7,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,0.212,0.171,0.264,1.08,1.1
CVD-0018487,MAT-POS-5cd9ea36-7,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,0.102,0.0918,0.113,0.982,1.1
CVD-0018487,MAT-POS-5cd9ea36-7,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,0.121,0.106,0.139,1.27,1.1
CVD-0018487,MAT-POS-5cd9ea36-7,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,0.0841,0.0744,0.0951,0.883,2.1
CVD-0018486,MAT-POS-5cd9ea36-6,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,0.170,0.125,0.230,1.10,1.1
CVD-0018486,MAT-POS-5cd9ea36-6,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,0.0971,0.0875,0.108,1.16,1.1
CVD-0018486,MAT-POS-5cd9ea36-6,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,0.0804,0.0770,0.0840,1.14,2.1
CVD-0018485,MAT-POS-5cd9ea36-5,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,0.0884,0.0826,0.0946,1.14,1.1
CVD-0018485,MAT-POS-5cd9ea36-5,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,0.0790,0.0712,0.0877,1.13,2.1
CVD-0018484,MAT-POS-5cd9ea36-4,CC(C)NS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.195,0.177,0.214,0.989,2.1
CVD-0018483,MAT-POS-5cd9ea36-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,0.127,0.115,0.141,1.10,1.1
CVD-0018483,MAT-POS-5cd9ea36-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,0.132,0.114,0.152,1.31,1.1
CVD-0018483,MAT-POS-5cd9ea36-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,0.0999,0.0943,0.106,1.09,2.1
CVD-0018482,MAT-POS-5cd9ea36-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CC2)Cc2ccc(Cl)cc21,0.128,0.119,0.136,1.12,1.1
CVD-0018482,MAT-POS-5cd9ea36-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CC2)Cc2ccc(Cl)cc21,0.0955,0.0885,0.103,0.942,2.1
CVD-0018473,EDJ-MED-4fff0a85-4,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.199,0.134,0.296,0.932,1.3
CVD-0018473,EDJ-MED-4fff0a85-4,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.109,0.101,0.118,1.03,1.1
CVD-0018473,EDJ-MED-4fff0a85-4,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.119,0.108,0.133,1.20,1.1
CVD-0018473,EDJ-MED-4fff0a85-4,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,0.0852,0.0802,0.0906,1.11,2.1
CVD-0018472,EDJ-MED-4fff0a85-3,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1,0.0636,0.0575,0.0704,1.12,1.1
CVD-0018472,EDJ-MED-4fff0a85-3,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1,< 0.0500,"","",1.00,2.1
CVD-0018470,EDJ-MED-4fff0a85-1,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CCOCC2)Cc2ccc(Cl)cc21,0.152,0.133,0.172,1.11,2.1
CVD-0018391,EDJ-MED-76744c27-7,COC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.200,0.183,0.218,1.07,2.1
CVD-0018390,EDJ-MED-76744c27-5,CC(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.107,0.0968,0.119,1.05,2.1
CVD-0018389,EDJ-MED-76744c27-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2)Cc2ccc(Cl)cc21,0.168,0.163,0.174,1.13,2.1
CVD-0018387,EDJ-MED-76744c27-1,"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",0.235,0.186,0.296,1.09,1.1
CVD-0018387,EDJ-MED-76744c27-1,"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",0.110,0.102,0.118,1.08,1.1
CVD-0018387,EDJ-MED-76744c27-1,"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",0.113,0.101,0.127,1.25,1.1
CVD-0018387,EDJ-MED-76744c27-1,"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",0.0863,0.0768,0.0969,0.904,2.1
CVD-0018139,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.141,0.107,0.187,1.24,1.1
CVD-0018139,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.0969,0.0835,0.113,1.00,1.1
CVD-0018139,PET-UNK-af70882d-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(=O)(=O)CC(C)(C)C#N)Cc2ccc(Cl)cc21,0.0550,0.0519,0.0583,0.930,2.1
CVD-0017487,ALF-EVA-07677224-7,"COC1(CS(=O)(=O)N2CC(C(=O)NC3=CN=CC4=CC=CC=C34)C3=CC(Cl)=CC=C3C2)CC1 |c:15,19,28,30,t:13,17,21,25|",0.107,0.103,0.112,1.09,1.1
CVD-0017487,ALF-EVA-07677224-7,"COC1(CS(=O)(=O)N2CC(C(=O)NC3=CN=CC4=CC=CC=C34)C3=CC(Cl)=CC=C3C2)CC1 |c:15,19,28,30,t:13,17,21,25|",0.0949,0.0854,0.105,1.06,2.1
CVD-0017398,MAT-POS-24589f88-3,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21,0.141,0.136,0.147,1.06,2.1
CVD-0017397,MAT-POS-24589f88-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CN(S(C)(=O)=O)Cc2ccc(Cl)cc21,12.3,11.4,13.3,1.09,1.1
CVD-0017362,MAT-POS-dc2604c4-3,Cl.N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CNC1,0.169,0.157,0.182,1.08,2.1
CVD-0017360,MAT-POS-dc2604c4-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,0.0827,0.0715,0.0957,1.23,1.1
CVD-0017360,MAT-POS-dc2604c4-1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,< 0.0500,"","",1.02,2.1
CVD-0017357,EDJ-MED-1981ceba-5,CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,0.116,0.110,0.122,1.07,2.1
CVD-0017356,EDJ-MED-1981ceba-4,N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0779,0.0722,0.0840,1.16,1.1
CVD-0017356,EDJ-MED-1981ceba-4,N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0507,0.0448,0.0573,1.00,2.1
CVD-0017355,EDJ-MED-1981ceba-3,COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0805,0.0757,0.0857,1.10,1.1
CVD-0017355,EDJ-MED-1981ceba-3,COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0594,0.0525,0.0672,1.03,2.1
CVD-0017354,EDJ-MED-1981ceba-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21,0.245,0.203,0.296,1.22,1.1
CVD-0017354,EDJ-MED-1981ceba-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21,0.140,0.131,0.150,1.15,1.1
CVD-0017354,EDJ-MED-1981ceba-2,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21,0.0888,0.0811,0.0974,1.04,2.1
CVD-0017353,EDJ-MED-1981ceba-1,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCOCC2)Cc2ccc(Cl)cc21,0.138,0.127,0.148,1.05,2.1
CVD-0017253,MAT-POS-61f37a1a-2,"O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)[C@@H]2CCC[C@H]2O)Cc2ccc(Cl)cc21 |&1:19,23|",0.146,0.131,0.161,1.13,1.1
CVD-0017253,MAT-POS-61f37a1a-2,"O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)[C@@H]2CCC[C@H]2O)Cc2ccc(Cl)cc21 |&1:19,23|",0.129,0.124,0.133,1.10,2.1
CVD-0017066,MAT-POS-64942dd0-3,CS(=O)(=O)N1Cc2cc(F)c(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.258,0.242,0.275,1.10,1.1
CVD-0016924,MAT-POS-4223bc15-31,Cn1ncc(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)n1,0.268,0.234,0.307,0.997,2.1
CVD-0016923,MAT-POS-4223bc15-30,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)c2ncc[nH]2)Cc2ccc(Cl)cc21,0.217,0.204,0.231,1.04,2.1
CVD-0016911,MAT-POS-4223bc15-16,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCCC2CO)Cc2ccc(Cl)cc21,1.14,1.01,1.28,1.21,1.1
CVD-0016910,MAT-POS-4223bc15-15,Cl.O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CNC2)Cc2ccc(Cl)cc21,0.274,0.258,0.291,0.940,2.1
CVD-0016909,MAT-POS-4223bc15-14,Cl.O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CNC2)Cc2ccc(Cl)cc21,0.135,0.125,0.146,1.08,2.1
CVD-0016907,MAT-POS-4223bc15-12,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,0.0874,0.0839,0.0911,1.05,2.1
CVD-0016907,MAT-POS-4223bc15-12,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,0.0634,0.0566,0.0711,1.06,1.1
CVD-0016907,MAT-POS-4223bc15-12,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1,0.0565,0.0532,0.0600,1.10,2.1
CVD-0016906,MAT-POS-4223bc15-11,CC1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0806,0.0781,0.0832,1.13,2.1
CVD-0016906,MAT-POS-4223bc15-11,CC1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0523,0.0490,0.0558,1.21,1.1
CVD-0016906,MAT-POS-4223bc15-11,CC1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1,0.0509,0.0480,0.0539,1.14,2.1
CVD-0016903,MAT-POS-4223bc15-8,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CCOC2)Cc2ccc(Cl)cc21,0.152,0.145,0.159,1.03,2.1
CVD-0016902,MAT-POS-4223bc15-7,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2COC2)Cc2ccc(Cl)cc21,0.246,0.221,0.273,1.05,2.1
CVD-0016901,MAT-POS-4223bc15-6,CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.242,0.213,0.274,1.16,1.1
CVD-0016901,MAT-POS-4223bc15-6,CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.185,0.174,0.197,1.04,2.1
CVD-0016900,MAT-POS-4223bc15-5,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CCO)Cc2ccc(Cl)cc21,0.232,0.218,0.248,1.05,2.1
CVD-0016899,MAT-POS-4223bc15-4,COCCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.214,0.196,0.234,1.17,1.1
CVD-0016899,MAT-POS-4223bc15-4,COCCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,0.211,0.200,0.222,1.08,2.1
CVD-0016898,MAT-POS-4223bc15-3,O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21,0.310,0.290,0.332,1.01,2.1
