SMILES,Title,pIC50,dpIC50,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_STDERR,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_LOW,EXP_BINDING_AFFINITY_IN_KCAL_PER_MOL_95%CI_HIGH
CC(C)N(C)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-5cd9ea36-19,6.8996294548824375,0.014612940297220378,-9.420981470486996,0.01995299032646263,-9.459880659001083,-9.380068697695233
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)NC5CC5,MAT-POS-5cd9ea36-2,6.892790030352131,0.01449798674442171,-9.411642694804888,0.019796028956585505,-9.454876409894085,-9.375692294067743
CN(C1CC1)S(=O)(=O)N2Cc3ccc(cc3C(C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-5cd9ea36-20,6.982966660701219,0.044831639829290504,-9.534772838118387,0.061214598680283644,-9.656501089526023,-9.411642694804888
CN(CCC#N)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-5cd9ea36-21,7.057495893831919,0.013123933107854313,-9.636537509529411,0.01791985083220864,-9.672107253358226,-9.60042785002939
CN(CCOC)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-5cd9ea36-22,6.982966660701219,0.02865019141467484,-9.534772838118387,0.03911991567207378,-9.61135607258238,-9.454876409894085
CN(CCO)S(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-5cd9ea36-23,6.7544873321858505,0.03444399032836798,-9.222799632251599,0.0470309596732854,-9.317589911910142,-9.129466073217001
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC#N,MAT-POS-5cd9ea36-24,6.481486060122113,0.015113136381335934,-8.85003469721413,0.020635974546249707,-8.890947470005893,-8.808403571820893
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)NC5CCC5,MAT-POS-5cd9ea36-3,6.896196279044043,0.022130318075441968,-9.416293699039278,0.030217465718711506,-9.475151889189814,-9.35428202631497
CC(C)NS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-5cd9ea36-4,6.709965388637482,0.020610126746846147,-9.16200790308092,0.02814174637291944,-9.219439849892941,-9.106872864401264
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCCC5)C#N,MAT-POS-5cd9ea36-5,7.053547734986927,0.014727772270352713,-9.631146563310569,0.02010978568745606,-9.671388900756751,-9.590949758006927
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCOCC5)C#N,MAT-POS-5cd9ea36-6,6.769551078621726,0.0662044557523842,-9.243368168138417,0.09039774599279769,-9.425706595088958,-9.064115611117767
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCS(=O)(=O)CC5)C#N,MAT-POS-5cd9ea36-7,6.673664139071248,0.04715195411941919,-9.112440980428719,0.06438283228992189,-9.239890152303145,-8.982358823143457
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)CC#N,MAT-POS-5cd9ea36-8,6.892790030352131,0.01099348445506454,-9.411642694804888,0.015010866021791974,-9.4401121617824,-9.380068697695233
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)F,MAT-POS-5cd9ea36-9,6.7544873321858505,0.01416847626244322,-9.222799632251599,0.01934610448377866,-9.261070975286177,-9.183686557351063
CS(=O)(=O)N1Cc2cc(c(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl)F,MAT-POS-64942dd0-3,6.58838029403677,0.013879331962457941,-8.995991607450703,0.01895129732634057,-9.033956569698308,-8.958151380392945
c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,MAT-POS-777f5926-3,5.790484985457369,0.0459396750020542,-7.906519054370949,0.06272754642617569,-8.032471668505469,-7.781561482800767
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,MAT-POS-777f5926-4,7.071092309756048,0.03596888893942496,-9.655102503972062,0.04911310649770265,-9.754483147009095,-9.558030721018284
CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3[C@@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-bf364d7a-1,7.45717457304082,0.0328511947143828,-10.182271951588652,0.0448561040431749,-10.271986593983563,-10.092562177810864
c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCOCC5)C#N,MAT-POS-bf364d7a-10,4.818156412055227,0.02836111247944806,-6.578869572156441,0.038725197765831366,-6.653611719647394,-6.498710928584068
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCS(=O)(=O)CC5)C#N,MAT-POS-bf364d7a-11,7.280668713016273,0.025432344524275452,-9.941265032652312,0.034726161467220844,-10.010827520418182,-9.8719228745493
c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCS(=O)(=O)CC5)C#N,MAT-POS-bf364d7a-12,4.815308569182402,0.024068885808936846,-6.57498103363257,0.03286444999749991,-6.640482032002206,-6.509024232012206
CC1(CS(=O)(=O)C1)CS(=O)(=O)N2Cc3ccc(cc3[C@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-bf364d7a-2,4.580044251510242,0.025151539642005227,-6.253743379936869,0.03434274122559931,-6.323025299611167,-6.18565433470877
c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CS(=O)(=O)C5,MAT-POS-bf364d7a-3,5.08460016478773,0.02788432063523949,-6.942680654162251,0.03807417046662045,-7.018682385479023,-6.866385703612541
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5CS(=O)(=O)C5,MAT-POS-bf364d7a-4,7.132532512140949,0.03140472901138436,-9.738994981386414,0.042881052096580836,-9.824534999431231,-9.653010791044908
CC(C)(CS(=O)(=O)N1Cc2ccc(cc2[C@H](C1)C(=O)Nc3cncc4c3cccc4)Cl)C#N,MAT-POS-bf364d7a-6,4.87942606879415,0.02625010166652819,-6.662529180924566,0.035842754022647104,-6.734061577683215,-6.590690561592626
COC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-bf364d7a-7,4.732828271596986,0.021728424069578756,-6.462359716746837,0.029668706396620982,-6.523060390255148,-6.404385564668664
COC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-bf364d7a-8,7.095825631715837,0.05038691212266655,-9.688874196989849,0.06879995057224221,-9.827329977111324,-9.552130174822356
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CCOCC5)C#N,MAT-POS-bf364d7a-9,7.057991946977687,0.05963244024639858,-9.637214836844626,0.08142409940633781,-9.800848286815166,-9.475151889189814
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,MAT-POS-dc2604c4-1,7.082494490447454,0.03165147399394086,-9.670671417305643,0.043217965828514004,-9.756966053637145,-9.58409419032309
c1ccc2c(c1)cncc2NC(=O)C3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CNC5)C#N,MAT-POS-dc2604c4-3,6.772113295386326,0.016042933893960276,-9.246866703359839,0.021905550716248258,-9.290542878737675,-9.202920675872681
CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-dd1fff26-1,5.33913452199613,0.01728532727878873,-7.29023025498404,0.023601955593359723,-7.33737197898931,-7.242964156615871
CC1(CC1)CS(=O)(=O)N2Cc3ccc(cc3[C@@H](C2)C(=O)Nc4cncc5c4cccc5)Cl,MAT-POS-dd1fff26-2,7.338187314462739,0.024068885808936846,-10.019802826888789,0.03286444999749991,-10.085303825258423,-9.953846025268424
CS(=O)(=O)N1Cc2ccc(cc2C(C1)C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-dd3ad2b5-4,6.684029654543083,0.010997566860752928,-9.126594396902858,0.015016440273075584,-9.155956830167595,-9.095891069075291
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,MAT-POS-e194df51-1,7.434152181326482,0.01532574389592245,-10.150836419120514,0.020926275854240745,-10.192555446285288,-10.108850342868326
c1ccc2c(c1)cncc2NC(=O)[C@H]3CN(Cc4c3cc(cc4)Cl)S(=O)(=O)CC5(CC5)C#N,MAT-POS-e194df51-2,5.386158178123931,0.021867114193803827,-7.354437904967486,0.029858078463484563,-7.4135596255797775,-7.294127311725839
CC(C)(CS(=O)(=O)N1Cc2ccc(cc2[C@@H](C1)C(=O)Nc3cncc4c3cccc4)Cl)C#N,PET-UNK-af70882d-1,6.85078088734462,0.060614457212822215,-9.35428202631497,0.08276497773971472,-9.51790914247331,-9.186849231514453
